Index,InsertionTime(ns),Log(2) n
300000,500,481.9460298
600000,800,491.9460298
900000,200,497.7956548
1200000,400,501.9460298
1500000,700,505.1653107
1800000,400,507.7956548
2100000,600,510.019579
2400000,600,511.9460298
2700000,400,513.6452798
3000000,500,515.1653107
3300000,500,516.5403459
3600000,1000,517.7956548
3900000,500,518.9504269
4200000,600,520.019579
4500000,600,521.0149357
4800000,300,521.9460298
5100000,400,522.8206582
5400000,300,523.6452798
5700000,500,524.4253049
6000000,600,525.1653107
6300000,500,525.869204
6600000,600,526.5403459
6900000,700,527.1816493
7200000,400,527.7956548
7500000,600,528.3845916
7800000,500,528.9504269
8100000,600,529.4949048
8400000,1200,530.019579
8700000,300,530.5258397
9000000,700,531.0149357
9300000,300,531.4879929
9600000,400,531.9460298
9900000,600,532.3899709
10200000,500,532.8206582
10500000,500,533.2388599
10800000,800,533.6452798
11100000,300,534.0405634
11400000,400,534.4253049
11700000,200,534.8000519
12000000,300,535.1653107
12300000,600,535.5215498
12600000,200,535.869204
12900000,500,536.2086773
13200000,300,536.5403459
13500000,500,536.8645607
13800000,300,537.1816493
14100000,1000,537.4919183
14400000,600,537.7956548
14700000,700,538.0931282
15000000,500,538.3845916
15300000,600,538.6702832
15600000,600,538.9504269
15900000,300,539.2252343
16200000,500,539.4949048
16500000,700,539.7596269
16800000,600,540.019579
17100000,500,540.2749299
17400000,400,540.5258397
17700000,600,540.7724602
18000000,500,541.0149357
18300000,800,541.2534031
18600000,500,541.4879929
18900000,1100,541.718829
19200000,700,541.9460298
19500000,400,542.1697079
19800000,500,542.3899709
20100000,500,542.6069217
20400000,500,542.8206582
20700000,300,543.0312743
21000000,400,543.2388599
21300000,700,543.4435009
21600000,400,543.6452798
21900000,500,543.8442753
22200000,700,544.0405634
22500000,600,544.2342167
22800000,600,544.4253049
23100000,700,544.6138952
23400000,600,544.8000519
23700000,1200,544.9838372
24000000,500,545.1653107
24300000,500,545.3445298
24600000,300,545.5215498
24900000,1200,545.6964241
25200000,400,545.869204
25500000,800,546.0399391
25800000,500,546.2086773
26100000,1200,546.3754647
26400000,400,546.5403459
26700000,700,546.7033641
27000000,800,546.8645607
27300000,1300,547.0239762
27600000,600,547.1816493
27900000,1000,547.3376179
28200000,300,547.4919183
28500000,400,547.6445858
28800000,800,547.7956548
29100000,600,547.9451582
29400000,400,548.0931282
29700000,700,548.239596
30000000,400,548.3845916
30300000,600,548.5281446
30600000,400,548.6702832
30900000,800,548.811035
31200000,300,548.9504269
31500000,600,549.0884849
31800000,600,549.2252343
32100000,300,549.3606996
32400000,500,549.4949048
32700000,600,549.627873
33000000,900,549.7596269
33300000,400,549.8901884
33600000,600,550.019579
33900000,400,550.1478194
34200000,300,550.2749299
34500000,700,550.4009303
34800000,1400,550.5258397
35100000,500,550.6496769
35400000,600,550.7724602
35700000,600,550.8942074
36000000,600,551.0149357
36300000,600,551.1346621
36600000,600,551.2534031
36900000,500,551.3711748
37200000,300,551.4879929
37500000,700,551.6038726
37800000,1200,551.718829
38100000,200,551.8328766
38400000,400,551.9460298
38700000,800,552.0583023
39000000,200,552.1697079
39300000,500,552.2802598
39600000,600,552.3899709
39900000,500,552.4988541
40200000,200,552.6069217
40500000,500,552.7141857
40800000,400,552.8206582
41100000,500,552.9263506
41400000,300,553.0312743
41700000,600,553.1354405
42000000,300,553.2388599
42300000,700,553.3415433
42600000,600,553.4435009
42900000,800,553.5447431
43200000,600,553.6452798
43500000,400,553.7451207
43800000,700,553.8442753
44100000,900,553.9427532
44400000,800,554.0405634
44700000,800,554.137715
45000000,500,554.2342167
45300000,400,554.3300771
45600000,700,554.4253049
45900000,800,554.5199082
46200000,500,554.6138952
46500000,600,554.7072738
46800000,600,554.8000519
47100000,300,554.8922372
47400000,400,554.9838372
47700000,600,555.0748593
48000000,700,555.1653107
48300000,200,555.2551985
48600000,600,555.3445298
48900000,600,555.4333113
49200000,400,555.5215498
49500000,600,555.6092519
49800000,500,555.6964241
